CECM MAPLE Server: 2 Intel Gold 6342 24 core CPUs at 2.8-3.5 GHz w. 256 GB RAM.

PRIME -> 9223372036854775783
CALLS -> 1000
STEP      degN      degD      avgTimeNewton(mulRec)       avgTimeNewton(mul64)                           
1         4         4         0.499679                    0.5305                                                          
2         8         8         2.13413                     2.35247                                                        
3         16        16        8.94434                     10.1762                                                      
4         32        32        30.191                      35.7635                                                      
5         64        64        102.7                       124.369                                                       
6         128       128       371.942                     449.935                                                      
7         256       256       1393.45                     1693.84                                                     
8         512       512       5367.66                     6556.6                                                       
9         1024      1024      21043.9                     25769.4                                                  
10        2048      2048      83392.8                     102195                                                 


avgTimeRR(No CPU+mulRec)    avgTimeRR(ZFMA+mul64)       avgTimeRR(CPU+mulRec)                   
1.07531                     1.0108                      1.01258                                    
2.57069                     2.30819                     2.30438                                    
6.19199                     5.11269                     5.08926                                  
17.6144                     13.2374                     13.2156                                   
56.8934                     38.9635                     38.7998                                  
198.571                     125.649                     125.561                                  
734.844                     446.548                     447.102                                
2809.59                     1655.9                      1657.36                               
10971.5                     6350.31                     6353.13                              
43346.6                     24847.3                     24852.5                     


mulsNewton(mulRec)    mulsNewton(mul64)    mulsRR            
100                   100                   104               
392                   392                   336               
1552                  1552                  1184              
6176                  6176                  4416              
24640                 24640                 17024             
98432                 98432                 66816             
393472                393472                264704            
1573376               1573376               1053696           
6292480               6292480               4204544           
25167872              25167872              16797696
