PRIME -> 9223372036854775783
CALLS -> 1000
STEP      degN      degD      avgTimeNewton(mulRec)       avgTimeNewton(mul64)                   
1         5         5         0.750173                    0.814369                                
2         10        10        3.57781                     3.95727                                                  
3         20        20        13.3893                     15.4952                                  
4         40        40        44.3794                     53.0875              
5         80        80        154.528                     187.068                                  
6         160       160       567.134                     685.585                                


avgTimeRR(No CPU+mulRec)    avgTimeRR(CPU+mul64)        avgTimeRR(CPU+mulRec)                 
1.69769                     1.32699                     1.32682                                   
3.69749                     2.94535                     2.95448                                    
9.06512                     6.95532                     6.97051                                   
26.0211                     18.441                      18.4756                                   
84.7344                     56.1407                     56.4262                                  
301.566                     188.026                     188.336


mulsNewton(mulRec)    mulsNewton(mulSub)    mulsRR            
155                   155                   162               
610                   610                   522               
2420                  2420                  1842              
9640                  9640                  6882              
38480                 38480                 26562             
153760                153760                104322 
