CECM MAPLE Server: 2 Intel Gold 6342 24 core CPUs at 2.8-3.5 GHz w. 256 GB RAM.

PRIME -> 9223372036854775783
CALLS -> 10^6 

DegN    DegD    Terms       RR w. TC.       RR wo. TC 
5       5       100         0.000004646     0.000003589
10      10      100         0.000007266     0.000006158
20      20      100         0.000015404     0.000014239
40      40      100         0.000041571     0.000040453
80      80      100         0.000137576     0.000136480
160     160     100         0.000497935     0.000495066


NWI w. TC.      NWI wo. TC. 
0.000004304     0.000003635
0.000008353     0.000007630
0.000020865     0.000020222
0.000061995     0.000061441
0.000208517     0.000208003
0.000760639     0.000760364

ARR2POLY        POLY2ARR
0.000007162     0.000011055
0.000012491     0.000019542
0.000023443     0.000033470
0.000045089     0.000064237
0.000087993     0.000123729
0.000176928     0.000277317



