PRIME -> 2147483647
CALLS -> 10000

ITER    degN    degD    NewtonKernelMULREC      NewtonKernelMUL64       NewtonWrapperCPP        RRKernelMUL64           RRWrapperCPP            
1       5       5       0.733653                0.720338                0.756149                0.93491                 1.1038                  
2       10      10      3.05197                 3.02795                 3.07796                 2.20606                 2.44292                 
3       20      20      10.3564                 10.2879                 10.3342                 5.16347                 5.44741                 
4       40      40      36.2191                 35.9665                 36.0216                 15.0627                 15.3728                 
5       80      80      132.696                 132.092                 131.908                 48.758                  49.2161                 
6       160     160     501.085                 503.416                 503.42                  175.981                 176.622                 
7       320     320     1938.9                  1951.88                 1951.75                 657.497                 658.93                  

WITH TYPE CHECKING DISABLED: 

degN     degD     MapleNewton          LocalNewton          MapleRR              LocalRR              InputConv_U_M        OutputConv_N_D      
5        5        0.000020600          0.000001700          0.000038100          0.000002500          0.000018600          0.000014400         
10       10       0.000024900          0.000004000          0.000054000          0.000003800          0.000029600          0.000018600         
20       20       0.000039300          0.000011300          0.000093900          0.000006600          0.000053800          0.000025700         
40       40       0.000088400          0.000037000          0.000192800          0.000017000          0.000108800          0.000039700         
80       80       0.000271300          0.000132600          0.000462900          0.000051000          0.000207700          0.000073100         
160      160      0.000951400          0.000503700          0.001287000          0.000176200          0.000408900          0.000133200         
320      320      0.003569600          0.001951800          0.003826200          0.000655600          0.000887300          0.000245300   

WITH TYPE CHECKING ENABLED: 

degN     degD     MapleNewton          LocalNewton          MapleRR              LocalRR              InputConv_U_M        OutputConv_N_D      
5        5        0.000020700          0.000002300          0.000038300          0.000003600          0.000019800          0.000015000         
10       10       0.000025300          0.000004600          0.000054600          0.000004900          0.000031300          0.000019100         
20       20       0.000039600          0.000012000          0.000093400          0.000007700          0.000059300          0.000024400         
40       40       0.000089400          0.000037600          0.000188500          0.000018100          0.000105000          0.000039300         
80       80       0.000270700          0.000133300          0.000444500          0.000052200          0.000230500          0.000072900         
160      160      0.000949700          0.000504500          0.001274700          0.000177400          0.000411000          0.000131600         
320      320      0.003558400          0.001953200          0.003703400          0.000656300          0.000833600          0.000236600         
