degN     degD     MapleNewton_s        ExtNewton_s          MapleRR_s            ExtRR_s             
5        5        0.000041000          0.000002000          0.000054000          0.000004000         
10       10       0.000054000          0.000005000          0.000100000          0.000005000         
20       20       0.000127000          0.000013000          0.000213000          0.000010000         
40       40       0.000393000          0.000042000          0.000598000          0.000027000         
80       80       0.001265000          0.000149000          0.001865000          0.000087000         
160      160      0.004712000          0.000564000          0.006237000          0.000317000         
320      320      0.017559000          0.002182000          0.023613000          0.001209000         
640      640      0.069784000          0.008572000          0.085409000          0.004713000         
1280     1280     0.269682000          0.033978000          0.352181000          0.018614000         
2560     2560     1.073433000          0.135166000          1.424376000          0.073926000         
