degN     degD     MapleNewton_s        ExtNewton_s          MapleRR_s            ExtRR_s              Input_Conv           Output_Conv         
5        5        0.000041000          0.000003000          0.000054000          0.000004000          0.000000000          0.000000000         
10       10       0.000052000          0.000005000          0.000100000          0.000006000          0.000000000          0.000000000         
20       20       0.000125000          0.000014000          0.000214000          0.000010000          0.000000000          0.000000000         
40       40       0.000398000          0.000042000          0.000598000          0.000027000          0.000000000          0.000000000         
80       80       0.001256000          0.000149000          0.001833000          0.000087000          0.000000000          0.000000000         
160      160      0.004669000          0.000565000          0.006229000          0.000317000          0.000000000          0.000000000         
320      320      0.017805000          0.002178000          0.023625000          0.001208000          0.000000000          0.000000000         
640      640      0.068189000          0.008567000          0.085226000          0.004714000          0.000000000          0.000000000         
1280     1280     0.269746000          0.033956000          0.351965000          0.018608000          0.000000000          0.000000000         
2560     2560     1.073086000          0.135187000          1.422645000          0.073925000          0.000000000          0.000000000         
