degN     degD     MapleNewton_s        ExtNewton_s          MapleRR_s            ExtRR_s             
5        5        0.000042000          0.000002000          0.000055000          0.000003000         
10       10       0.000054000          0.000004000          0.000100000          0.000005000         
20       20       0.000125000          0.000013000          0.000213000          0.000010000         
40       40       0.000375000          0.000038000          0.000607000          0.000026000         
80       80       0.001260000          0.000136000          0.001856000          0.000086000         
160      160      0.004703000          0.000507000          0.006248000          0.000315000         
320      320      0.017644000          0.001938000          0.023520000          0.001204000         
640      640      0.068535000          0.007648000          0.085492000          0.004698000         
1280     1280     0.270006000          0.030271000          0.353979000          0.018553000         
2560     2560     1.073529000          0.119593000          1.423668000          0.073727000         
