PRIME -> 9223372036854775783
CALLS -> 1000
STEP      degN      degD      avgTimeNewton(mulRec)       avgTimeNewton(mul64)        avgTimeRR(No CPU+mulRec)    avgTimeRR(ZFMA+mul64)       avgTimeRR(CPU+mulRec)       mulsNewton(mulRec)    mulsNewton(mul64)    mulsRR            
1         4         4         0.499679                    0.5305                      1.07531                     1.0108                      1.01258                     100                   100                   104               
2         8         8         2.13413                     2.35247                     2.57069                     2.30819                     2.30438                     392                   392                   336               
3         16        16        8.94434                     10.1762                     6.19199                     5.11269                     5.08926                     1552                  1552                  1184              
4         32        32        30.191                      35.7635                     17.6144                     13.2374                     13.2156                     6176                  6176                  4416              
5         64        64        102.7                       124.369                     56.8934                     38.9635                     38.7998                     24640                 24640                 17024             
6         128       128       371.942                     449.935                     198.571                     125.649                     125.561                     98432                 98432                 66816             
7         256       256       1393.45                     1693.84                     734.844                     446.548                     447.102                     393472                393472                264704            
8         512       512       5367.66                     6556.6                      2809.59                     1655.9                      1657.36                     1573376               1573376               1053696           
9         1024      1024      21043.9                     25769.4                     10971.5                     6350.31                     6353.13                     6292480               6292480               4204544           
10        2048      2048      83392.8                     102195                      43346.6                     24847.3                     24852.5                     25167872              25167872              16797696          
